Date,Value,Change
1/2002, 100.9, 0
2/2002, 101.3, 0.4
3/2002, 99, -2.3
4/2002, 99.9, 0.9
5/2002, 99.8, -0.1
6/2002, 100, 0.2
7/2002, 99.7, -0.3
8/2002, 100.3, 0.6
9/2002, 100.1, -0.2
10/2002, 100.6, 0.5
11/2002, 100.1, -0.5
12/2002, 100.3, 0.2
1/2003, 100.6, 0.3
2/2003, 102.1, 1.5
3/2003, 98.9, -3.2
4/2003, 100.1, 1.2
5/2003, 100.3, 0.2
6/2003, 100.1, -0.2
7/2003, 100, -0.1
8/2003, 100.1, 0.1
9/2003, 100.1, 0
10/2003, 100, -0.1
11/2003, 100.3, 0.3
12/2003, 101.7, 1.4
1/2004, 100.9, -0.8
2/2004, 101.8, 0.9
3/2004, 99, -2.8
4/2004, 100, 1
5/2004, 100.4, 0.4
6/2004, 100, -0.4
7/2004, 100.9, 0.9
8/2004, 100.4, -0.5
9/2004, 100.3, -0.1
10/2004, 100.4, 0.1
11/2004, 100.1, -0.3
12/2004, 101, 0.9
1/2005, 100.9, -0.1
2/2005, 101.6, 0.7
3/2005, 99.5, -2.1
4/2005, 100.2, 0.7
5/2005, 100.4, 0.2
6/2005, 100.3, -0.1
7/2005, 100.6, 0.3
8/2005, 100.5, -0.1
9/2005, 100.4, -0.1
10/2005, 100.4, 0
11/2005, 100.5, 0.1
12/2005, 100.7, 0.2
1/2006, 100.8, 0.1
2/2006, 101.7, 0.9
3/2006, 99.6, -2.1
4/2006, 100.2, 0.6
5/2006, 101, 0.8
6/2006, 99.7, -1.3
7/2006, 100.5, 0.8
8/2006, 100.2, -0.3
9/2006, 100, -0.2
10/2006, 100.9, 0.9
11/2006, 101, 0.1
12/2006, 100.8, -0.2
1/2007, 100.89, 0.09
2/2007, 102.26, 1.37
3/2007, 99.45, -2.81
4/2007, 100.45, 1
5/2007, 100.71, 0.26
6/2007, 100.49, -0.22
7/2007, 100.46, -0.03
8/2007, 100.48, 0.02
9/2007, 100.42, -0.06
10/2007, 100.45, 0.03
11/2007, 101.02, 0.57
12/2007, 101.61, 0.59
1/2008, 102.6, 0.99
2/2008, 103.4, 0.8
3/2008, 100.1, -3.3
4/2008, 100.53, 0.43
5/2008, 100.33, -0.2
6/2008, 100.96, 0.63
7/2008, 101.14, 0.18
8/2008, 100.9, -0.24
9/2008, 100.36, -0.54
10/2008, 100.85, 0.49
11/2008, 100.39, -0.46
12/2008, 100.75, 0.36
1/2009, 101.93, 1.18
2/2009, 102.01, 0.08
3/2009, 100.26, -1.75
4/2009, 100.38, 0.12
5/2009, 101.44, 1.06
6/2009, 101.36, -0.08
7/2009, 100.45, -0.91
8/2009, 100.4, -0.05
9/2009, 100.48, 0.08
10/2009, 100.48, 0
11/2009, 100.54, 0.06
12/2009, 101, 0.46
1/2010, 102.24, 1.24
2/2010, 102.52, 0.28
3/2010, 100.56, -1.96
4/2010, 100.33, -0.23
5/2010, 101.34, 1.01
6/2010, 100.46, -0.88
7/2010, 100.3, -0.16
8/2010, 100.19, -0.11
9/2010, 100.57, 0.38
10/2010, 100.7, 0.13
11/2010, 100.99, 0.29
12/2010, 101.06, 0.07
1/2011, 101.04, -0.02
2/2011, 101.36, 0.32
3/2011, 101.39, 0.03
4/2011, 101.02, -0.37
5/2011, 102.06, 1.04
6/2011, 100.86, -1.2
7/2011, 100.49, -0.37
8/2011, 101.01, 0.52
9/2011, 101.37, 0.36
10/2011, 100.2, -1.17
11/2011, 100.61, 0.41
12/2011, 100.6, -0.01
1/2012, 101, 0.4
2/2012, 100.89, -0.11
3/2012, 100.44, -0.45
4/2012, 100.38, -0.06
5/2012, 103.09, 2.71
6/2012, 100.35, -2.74
7/2012, 100.4, 0.05
8/2012, 100.42, 0.02
9/2012, 100.61, 0.19
10/2012, 100.71, 0.1
11/2012, 100.42, -0.29
12/2012, 100.71, 0.29
1/2013, 100.74, 0.03
2/2013, 101.07, 0.33
3/2013, 100.16, -0.91
4/2013, 100.33, 0.17
5/2013, 100.08, -0.25
6/2013, 100.15, 0.07
7/2013, 100.14, -0.01
8/2013, 100.35, 0.21
9/2013, 101.33, 0.98
10/2013, 100.23, -1.1
11/2013, 100.18, -0.05
12/2013, 100.16, -0.02
1/2014, 100.63, 0.47
2/2014, 100.55, -0.08
3/2014, 100.23, -0.32
4/2014, 100.09, -0.14
5/2014, 100.22, 0.13
6/2014, 100.23, 0.01
7/2014, 100.24, 0.01
8/2014, 100.18, -0.06
9/2014, 100.12, -0.06
10/2014, 100.17, 0.05
11/2014, 100.22, 0.05
12/2014, 100.34, 0.12
1/2015, 100.53, 0.19
2/2015, 100.74, 0.21
