Date,Value,Change
1/2002	100.6	0
2/2002	100.5	-0.1
3/2002	99.7	-0.8
4/2002	99.9	0.2
5/2002	99.8	-0.1
6/2002	100	0.2
7/2002	99.9	-0.1
8/2002	100.1	0.2
9/2002	100.4	0.3
10/2002	100	-0.4
11/2002	100.1	0.1
12/2002	100.1	0
1/2003	100.8	0.7
2/2003	100.6	-0.2
3/2003	99.8	-0.8
4/2003	100.4	0.6
5/2003	100.5	0.1
6/2003	100	-0.5
7/2003	100	0
8/2003	100	0
9/2003	100.2	0.2
10/2003	100.1	-0.1
11/2003	100.5	0.4
12/2003	100.5	0
1/2004	101.2	0.7
2/2004	99.7	-1.5
3/2004	100.5	0.8
4/2004	100.7	0.2
5/2004	99.9	-0.8
6/2004	100.1	0.2
7/2004	100.2	0.1
8/2004	100.4	0.2
9/2004	100.5	0.1
10/2004	100.2	-0.3
11/2004	100.2	0
12/2004	100.5	0.3
1/2005	100.7	0.2
2/2005	100.5	-0.2
3/2005	99.8	-0.7
4/2005	100.3	0.5
5/2005	100.4	0.1
6/2005	100.3	-0.1
7/2005	100.3	0
8/2005	100.6	0.3
9/2005	100.6	0
10/2005	100.4	-0.2
11/2005	100.5	0.1
12/2005	100.6	0.1
1/2006	100.9	0.3
2/2006	100.8	-0.1
3/2006	100.3	-0.5
4/2006	100.2	-0.1
5/2006	100.4	0.2
6/2006	100.4	0
7/2006	100.3	-0.1
8/2006	100.5	0.2
9/2006	100.7	0.2
10/2006	100.4	-0.3
11/2006	100	-0.4
12/2006	100.7	0.7
1/2007	101.01	0.31
2/2007	101.28	0.27
3/2007	99.75	-1.53
4/2007	100.48	0.73
5/2007	100.48	0
6/2007	100.48	0
7/2007	100.49	0.01
8/2007	100.38	-0.11
9/2007	100.31	-0.07
10/2007	100.29	-0.02
11/2007	100.4	0.11
12/2007	101.16	0.76
1/2008	101.4	0.24
2/2008	101.36	-0.04
3/2008	100.89	-0.47
4/2008	100.96	0.07
5/2008	100.96	0
6/2008	100.92	-0.04
7/2008	101.4	0.48
8/2008	101	-0.4
9/2008	100.74	-0.26
10/2008	100.7	-0.04
11/2008	100.86	0.16
12/2008	101.01	0.15
1/2009	101.46	0.45
2/2009	100.44	-1.02
3/2009	100.19	-0.25
4/2009	100.2	0.01
5/2009	100.26	0.06
6/2009	100.47	0.21
7/2009	100.29	-0.18
8/2009	100.52	0.23
9/2009	100.67	0.15
10/2009	100.27	-0.4
11/2009	100.32	0.05
12/2009	100.81	0.49
1/2010	101.24	0.43
2/2010	101.39	0.15
3/2010	100.15	-1.24
4/2010	100.35	0.2
5/2010	100.32	-0.03
6/2010	100.33	0.01
7/2010	100.35	0.02
8/2010	100.51	0.16
9/2010	100.34	-0.17
10/2010	100.4	0.06
11/2010	100.9	0.5
12/2010	101.81	0.91
1/2011	101.81	0
2/2011	101.38	-0.43
3/2011	101	-0.38
4/2011	101.63	0.63
5/2011	101.17	-0.46
6/2011	100.62	-0.55
7/2011	100.74	0.12
8/2011	100.79	0.05
9/2011	100.92	0.13
10/2011	100.63	-0.29
11/2011	100.65	0.02
12/2011	100.86	0.21
1/2012	101.97	1.11
2/2012	100.55	-1.42
3/2012	100.41	-0.14
4/2012	100.56	0.15
5/2012	100.58	0.02
6/2012	100.62	0.04
