1/2002	99.89	0
2/2002	98.77	-1.12
3/2002	99.8	1.03
4/2002	99.94	0.14
5/2002	99.95	0.01
6/2002	100.49	0.54
7/2002	99.93	-0.56
8/2002	95.45	-4.48
9/2002	99.93	4.48
10/2002	99.93	0
11/2002	99.97	0.04
12/2002	99.98	0.01
1/2003	99.94	-0.04
2/2003	99.99	0.05
3/2003	100.02	0.03
4/2003	100.02	0
5/2003	98.32	-1.7
6/2003	99.99	1.67
7/2003	99.98	-0.01
8/2003	99.94	-0.04
9/2003	99.93	-0.01
10/2003	99.83	-0.1
11/2003	99.99	0.16
12/2003	99.91	-0.08
1/2004	99.99	0.08
2/2004	99.84	-0.15
3/2004	99.98	0.14
4/2004	99.99	0.01
5/2004	100	0.01
6/2004	99.98	-0.02
7/2004	99.92	-0.06
8/2004	99.99	0.07
9/2004	100.01	0.02
10/2004	99.98	-0.03
11/2004	99.99	0.01
12/2004	99.98	-0.01
1/2005	99.95	-0.03
2/2005	99.97	0.02
3/2005	99.95	-0.02
4/2005	99.85	-0.1
5/2005	99.93	0.08
6/2005	99.87	-0.06
7/2005	100	0.13
8/2005	99.98	-0.02
9/2005	99.99	0.01
10/2005	99.97	-0.02
11/2005	99.98	0.01
12/2005	99.99	0.01
1/2006	100	0.01
2/2006	99.98	-0.02
3/2006	99.97	-0.01
4/2006	99.86	-0.11
5/2006	99.97	0.11
6/2006	99.87	-0.1
7/2006	99.99	0.12
8/2006	99.98	-0.01
9/2006	100	0.02
10/2006	99.97	-0.03
11/2006	99.99	0.02
12/2006	100.8	0.81
1/2007	99.93	-0.87
2/2007	99.98	0.05
3/2007	99.98	0
4/2007	99.91	-0.07
5/2007	100.01	0.1
6/2007	99.97	-0.04
7/2007	99.98	0.01
8/2007	99.98	0
9/2007	99.93	-0.05
10/2007	99.97	0.04
11/2007	99.9	-0.07
12/2007	99.97	0.07
1/2008	99.94	-0.03
2/2008	99.84	-0.1
3/2008	99.9	0.06
4/2008	100	0.1
5/2008	100.03	0.03
6/2008	99.94	-0.09
7/2008	99.9	-0.04
8/2008	99.97	0.07
9/2008	99.93	-0.04
10/2008	99.88	-0.05
11/2008	99.98	0.1
12/2008	99.97	-0.01
1/2009	99.85	-0.12
2/2009	99.93	0.08
3/2009	100.03	0.1
4/2009	99.97	-0.06
5/2009	99.95	-0.02
6/2009	99.99	0.04
7/2009	99.94	-0.05
8/2009	99.96	0.02
9/2009	99.96	0
10/2009	100.01	0.05
11/2009	99.97	-0.04
12/2009	99.97	0
1/2010	99.91	-0.06
2/2010	99.93	0.02
3/2010	99.96	0.03
4/2010	99.92	-0.04
5/2010	99.86	-0.06
6/2010	99.89	0.03
7/2010	99.95	0.06
8/2010	99.93	-0.02
9/2010	99.92	-0.01
10/2010	99.96	0.04
11/2010	99.94	-0.02
12/2010	100.02	0.08
1/2011	99.91	-0.11
2/2011	99.97	0.06
3/2011	99.93	-0.04
4/2011	99.93	0
5/2011	99.95	0.02
6/2011	99.9	-0.05
7/2011	100.01	0.11
8/2011	99.95	-0.06
9/2011	100	0.05
10/2011	99.94	-0.06
11/2011	99.91	-0.03
12/2011	99.91	0
1/2012	99.97	0.06
2/2012	99.95	-0.02
3/2012	99.94	-0.01
4/2012	99.98	0.04
5/2012	99.98	0
6/2012	99.96	-0.02
7/2012	99.98	0.02
8/2012	99.95	-0.03
9/2012	99.98	0.03
10/2012	99.97	-0.01
11/2012	99.83	-0.14
12/2012	100	0.17
1/2013	99.9	-0.1
2/2013	100.03	0.13
3/2013	99.87	-0.16
4/2013	99.8	-0.07
5/2013	99.85	0.05
6/2013	100.01	0.16
7/2013	99.95	-0.06
8/2013	99.95	0
9/2013	99.94	-0.01
10/2013	99.96	0.02
11/2013	100.03	0.07
12/2013	99.99	-0.04
1/2014	99.97	-0.02
2/2014	99.96	-0.01
3/2014	100.02	0.06
4/2014	99.88	-0.14
5/2014	100.01	0.13
6/2014	99.84	-0.17
7/2014	100.26	0.42
8/2014	99.99	-0.27
9/2014	99.96	-0.03
10/2014	99.94	-0.02
11/2014	99.98	0.04
12/2014	99.96	-0.02
