Date,Value,Change
1/2002, 100.4, 0
2/2002, 101.4, 1
3/2002, 99.2, -2.2
4/2002, 99.8, 0.6
5/2002, 100.4, 0.6
6/2002, 100.1, -0.3
7/2002, 100.2, 0.1
8/2002, 100.2, 0
9/2002, 100.3, 0.1
10/2002, 100.6, 0.3
11/2002, 100.3, -0.3
12/2002, 100.7, 0.4
1/2003, 100.9, 0.2
2/2003, 102.2, 1.3
3/2003, 99.4, -2.8
4/2003, 99.8, 0.4
5/2003, 99.8, 0
6/2003, 100, 0.2
7/2003, 100, 0
8/2003, 100.1, 0.1
9/2003, 100.1, 0
10/2003, 100.3, 0.2
11/2003, 100.3, 0
12/2003, 100.6, 0.3
1/2004, 102.9, 2.3
2/2004, 100.5, -2.4
3/2004, 98.3, -2.2
4/2004, 100.3, 2
5/2004, 100.4, 0.1
6/2004, 100, -0.4
7/2004, 100.2, 0.2
8/2004, 100.4, 0.2
9/2004, 100.4, 0
10/2004, 100, -0.4
11/2004, 100, 0
12/2004, 100.3, 0.3
1/2005, 100.8, 0.5
2/2005, 101.7, 0.9
3/2005, 99.8, -1.9
4/2005, 100.2, 0.4
5/2005, 100.8, 0.6
6/2005, 99.8, -1
7/2005, 100.2, 0.4
8/2005, 100.4, 0.2
9/2005, 100, -0.4
10/2005, 100.4, 0.4
11/2005, 100.3, -0.1
12/2005, 100.5, 0.2
1/2006, 101.2, 0.7
2/2006, 101.5, 0.3
3/2006, 99.5, -2
4/2006, 100.1, 0.6
5/2006, 100.4, 0.3
6/2006, 100.3, -0.1
7/2006, 100.6, 0.3
8/2006, 100.2, -0.4
9/2006, 100.3, 0.1
10/2006, 100.3, 0
11/2006, 100.8, 0.5
12/2006, 99.9, -0.9
1/2007, 101.65, 1.75
2/2007, 102.52, 0.87
3/2007, 99.28, -3.24
4/2007, 99.82, 0.54
5/2007, 100.22, 0.4
6/2007, 100.16, -0.06
7/2007, 100.27, 0.11
8/2007, 100.5, 0.23
9/2007, 100.06, -0.44
10/2007, 100.41, 0.35
11/2007, 100.4, -0.01
12/2007, 101.33, 0.93
1/2008, 101.77, 0.44
2/2008, 101.89, 0.12
3/2008, 100.66, -1.23
4/2008, 100.68, 0.02
5/2008, 101.88, 1.2
6/2008, 101.07, -0.81
7/2008, 100.98, -0.09
8/2008, 100.67, -0.31
9/2008, 100.54, -0.13
10/2008, 100.67, 0.13
11/2008, 100.9, 0.23
12/2008, 100.68, -0.22
1/2009, 101.89, 1.21
2/2009, 100.8, -1.09
3/2009, 100.35, -0.45
4/2009, 100.45, 0.1
5/2009, 100.31, -0.14
6/2009, 100.64, 0.33
7/2009, 100.47, -0.17
8/2009, 100.11, -0.36
9/2009, 100.75, 0.64
10/2009, 100.14, -0.61
11/2009, 100.44, 0.3
12/2009, 100.97, 0.53
1/2010, 101.14, 0.17
2/2010, 102.27, 1.13
3/2010, 100.16, -2.11
4/2010, 100.37, 0.21
5/2010, 100.32, -0.05
6/2010, 100.62, 0.3
7/2010, 100.41, -0.21
8/2010, 100.32, -0.09
9/2010, 100.44, 0.12
10/2010, 100.9, 0.46
11/2010, 100.94, 0.04
12/2010, 101.3, 0.36
1/2011, 101.67, 0.37
2/2011, 102.14, 0.47
3/2011, 100.88, -1.26
4/2011, 101.01, 0.13
5/2011, 100.92, -0.09
6/2011, 100.76, -0.16
7/2011, 100.63, -0.13
8/2011, 100.55, -0.08
9/2011, 100.59, 0.04
10/2011, 100.49, -0.1
11/2011, 100.25, -0.24
12/2011, 100.49, 0.24
1/2012, 101.17, 0.68
2/2012, 100.86, -0.31
3/2012, 100.16, -0.7
4/2012, 100.2, 0.04
5/2012, 100.43, 0.23
6/2012, 100.33, -0.1
7/2012, 100.33, 0
8/2012, 100.24, -0.09
9/2012, 100.14, -0.1
10/2012, 100.17, 0.03
11/2012, 100.23, 0.06
12/2012, 100.32, 0.09
1/2013, 100.42, 0.1
2/2013, 101.5, 1.08
3/2013, 99.92, -1.58
4/2013, 100.1, 0.18
5/2013, 100.41, 0.31
6/2013, 100.32, -0.09
7/2013, 100.29, -0.03
8/2013, 100.27, -0.02
9/2013, 100.22, -0.05
10/2013, 100.12, -0.1
11/2013, 100.28, 0.16
12/2013, 100.27, -0.01
1/2014, 100.83, 0.56
2/2014, 100.6, -0.23
3/2014, 100.24, -0.36
4/2014, 100.23, -0.01
5/2014, 100.13, -0.1
6/2014, 100.3, 0.17
7/2014, 100.2, -0.1
8/2014, 100.13, -0.07
9/2014, 100.08, -0.05
10/2014, 100.06, -0.02
11/2014, 100.12, 0.06
12/2014, 100.18, 0.06
1/2015, 100.37, 0.19
2/2015, 100.56, 0.19
3/2015, 99.89, -0.67
4/2015, 99.99, 0.1
5/2015, 100.2, 0.21
6/2015, 100.24, 0.04
7/2015, 100.18, -0.06
8/2015, 100.07, -0.11
9/2015, 100.1, 0.03
10/2015, 100.11, 0.01
11/2015, 100.16, 0.05
12/2015, 100.16, 0
1/2016, 100.44, 0.28
2/2016, 101.15, 0.71
3/2016, 99.46, -1.69
4/2016, 100.17, 0.71
5/2016, 100.11, -0.06
6/2016, 100.13, 0.02
7/2016, 100.09, -0.04
8/2016, 100.05, -0.04
9/2016, 100.04, -0.01
10/2016, 100.06, 0.02
11/2016, 100.05, -0.01
12/2016, 100.21, 0.16
1/2017, 100.78, 0.57
2/2017, 99.99, -0.79
3/2017, 99.98, -0.01
4/2017, 100.06, 0.08
5/2017, 100.08, 0.02
6/2017, 100.1, 0.02
7/2017, 100.04, -0.06
8/2017, 100.07, 0.03
9/2017, 100.02, -0.05
10/2017, 100.01, -0.01
11/2017, 100.05, 0.04
12/2017, 100.17, 0.12
1/2018, 100.35, 0.18
2/2018, 100.75, 0.4
3/2018, 99.72, -1.03
4/2018, 100, 0.28
5/2018, 100.08, 0.08
6/2018, 100.09, 0.01
7/2018, 100.05, -0.04
8/2018, 100.11, 0.06
9/2018, 100.09, -0.02
10/2018, 100.03, -0.06
11/2018, 100.07, 0.04
12/2018, 100.22, 0.15
1/2019, 100.69, 0.47
2/2019, 100.35, -0.34
3/2019, 99.92, -0.43
4/2019, 100.08, 0.16
5/2019, 100.18, 0.1
6/2019, 100.33, 0.15
7/2019, 100.12, -0.21
8/2019, 100.03, -0.09
9/2019, 100.06, 0.03
10/2019, 100.04, -0.02
11/2019, 100.2, 0.16
12/2019, 100.25, 0.05
1/2020, 100.65, 0.4
2/2020, 99.72, -0.93
3/2020, 99.89, 0.17
4/2020, 100.13, 0.24
5/2020, 100.25, 0.12
6/2020, 100.09, -0.16
7/2020, 100.02, -0.07
8/2020, 100.05, 0.03
9/2020, 100.05, 0
10/2020, 100.08, 0.03
11/2020, 100.06, -0.02
12/2020, 100.13, 0.07
1/2021, 100.32, 0.19
2/2021, 100.9, 0.58
3/2021, 99.63, -1.27
4/2021, 100.14, 0.51
5/2021, 100.09, -0.05
6/2021, 100.11, 0.02
7/2021, 100.18, 0.07
