Date,Value,Change
1/2002	100	0
2/2002	100.2	0.2
3/2002	98.8	-1.4
4/2002	100	1.2
5/2002	99.9	-0.1
6/2002	100.3	0.4
7/2002	100.8	0.5
8/2002	99.4	-1.4
9/2002	100.4	1
10/2002	100.6	0.2
11/2002	100.5	-0.1
12/2002	100.3	-0.2
1/2003	100.3	0
2/2003	100.1	-0.2
3/2003	100	-0.1
4/2003	100.1	0.1
5/2003	100	-0.1
6/2003	100.5	0.5
7/2003	100	-0.5
8/2003	100.3	0.3
9/2003	102	1.7
10/2003	101.1	-0.9
11/2003	100.4	-0.7
12/2003	100.1	-0.3
1/2004	100.2	0.1
2/2004	100	-0.2
3/2004	96.6	-3.4
4/2004	100.1	3.5
5/2004	100.1	0
6/2004	99.9	-0.2
7/2004	100.4	0.5
8/2004	100.4	0
9/2004	100.4	0
10/2004	100.3	-0.1
11/2004	99.7	-0.6
12/2004	100.1	0.4
1/2005	100.1	0
2/2005	100	-0.1
3/2005	100.1	0.1
4/2005	100.2	0.1
5/2005	100.1	-0.1
6/2005	100.7	0.6
7/2005	100.6	-0.1
8/2005	100.6	0
9/2005	101.3	0.7
10/2005	100.7	-0.6
11/2005	100.2	-0.5
12/2005	100.4	0.2
1/2006	100.1	-0.3
2/2006	100.1	0
3/2006	100.1	0
4/2006	100.1	0
5/2006	100.3	0.2
6/2006	99.8	-0.5
7/2006	100.3	0.5
8/2006	100.3	0
9/2006	100.7	0.4
10/2006	101.6	0.9
11/2006	100.1	-1.5
12/2006	100.1	0
1/2007	100.19	0.09
2/2007	100.2	0.01
3/2007	100.06	-0.14
4/2007	100.17	0.11
5/2007	100.07	-0.1
6/2007	100.17	0.1
7/2007	100.08	-0.09
8/2007	100.28	0.2
9/2007	100.39	0.11
10/2007	100.2	-0.19
11/2007	100.06	-0.14
12/2007	100.08	0.02
1/2008	100.2	0.12
2/2008	100.1	-0.1
3/2008	100.3	0.2
4/2008	100.38	0.08
5/2008	100.45	0.07
6/2008	100.67	0.22
