Date,Value,Change
1/2002, 101.1, 0
2/2002, 104.6, 3.5
3/2002, 99.3, -5.3
4/2002, 100.8, 1.5
5/2002, 101.3, 0.5
6/2002, 101.4, 0.1
7/2002, 100.1, -1.3
8/2002, 100, -0.1
9/2002, 100.1, 0.1
10/2002, 99.6, -0.5
11/2002, 99.5, -0.1
12/2002, 99.8, 0.3
1/2003, 101.3, 1.5
2/2003, 104.4, 3.1
3/2003, 97.6, -6.8
4/2003, 99.8, 2.2
5/2003, 99.9, 0.1
6/2003, 99.9, 0
7/2003, 99.7, -0.2
8/2003, 99.6, -0.1
9/2003, 99.8, 0.2
10/2003, 99.7, -0.1
11/2003, 100.3, 0.6
12/2003, 100.9, 0.6
1/2004, 101.6, 0.7
2/2004, 106.8, 5.2
3/2004, 101.3, -5.5
4/2004, 100.6, -0.7
5/2004, 101.8, 1.2
6/2004, 101.8, 0
7/2004, 100.7, -1.1
8/2004, 100.8, 0.1
9/2004, 100.4, -0.4
10/2004, 99.8, -0.6
11/2004, 99.7, -0.1
12/2004, 100.7, 1
1/2005, 101.9, 1.2
2/2005, 104.3, 2.4
3/2005, 100, -4.3
4/2005, 100.5, 0.5
5/2005, 100.8, 0.3
6/2005, 100.9, 0.1
7/2005, 100.2, -0.7
8/2005, 100.4, 0.2
9/2005, 100.4, 0
10/2005, 100.3, -0.1
11/2005, 100.1, -0.2
12/2005, 101.7, 1.6
1/2006, 101.4, -0.3
2/2006, 103.7, 2.3
3/2006, 98.9, -4.8
4/2006, 100.2, 1.3
5/2006, 100.1, -0.1
6/2006, 100.4, 0.3
7/2006, 100.5, 0.1
8/2006, 100.1, -0.4
9/2006, 99.3, -0.8
10/2006, 100.2, 0.9
11/2006, 100.5, 0.3
12/2006, 100.1, -0.4
1/2007, 100.87, 0.77
2/2007, 103.83, 2.96
3/2007, 99.39, -4.44
4/2007, 100.68, 1.29
5/2007, 100.95, 0.27
6/2007, 101.44, 0.49
7/2007, 102.29, 0.85
8/2007, 100.92, -1.37
9/2007, 101.26, 0.34
10/2007, 101.19, -0.07
11/2007, 101.95, 0.76
12/2007, 104.69, 2.74
