Date,Value,Change
1/2002	100.2	0
2/2002	100.1	-0.1
3/2002	99.9	-0.2
4/2002	100	0.1
5/2002	100.2	0.2
6/2002	100	-0.2
7/2002	100.1	0.1
8/2002	99.8	-0.3
9/2002	99.9	0.1
10/2002	100	0.1
11/2002	100.1	0.1
12/2002	100.2	0.1
1/2003	100.7	0.5
2/2003	100.5	-0.2
3/2003	108.1	7.6
4/2003	102.6	-5.5
5/2003	101.3	-1.3
6/2003	99.8	-1.5
7/2003	100.4	0.6
8/2003	100.3	-0.1
9/2003	102.7	2.4
10/2003	102	-0.7
11/2003	100.9	-1.1
12/2003	100.1	-0.8
1/2004	100.7	0.6
2/2004	100.5	-0.2
3/2004	103.1	2.6
4/2004	101.2	-1.9
5/2004	101	-0.2
6/2004	99.9	-1.1
7/2004	101	1.1
8/2004	100.8	-0.2
9/2004	100.1	-0.7
10/2004	100.2	0.1
11/2004	100.1	-0.1
12/2004	100.1	0
1/2005	100.4	0.3
2/2005	100.4	0
3/2005	100.3	-0.1
4/2005	100.6	0.3
5/2005	100.4	-0.2
6/2005	100.5	0.1
7/2005	100.4	-0.1
8/2005	100.2	-0.2
9/2005	100.5	0.3
10/2005	100.4	-0.1
11/2005	100.5	0.1
12/2005	100.3	-0.2
1/2006	100.5	0.2
2/2006	100.5	0
3/2006	100.5	0
4/2006	100.1	-0.4
5/2006	100.4	0.3
6/2006	100.5	0.1
7/2006	100.3	-0.2
8/2006	100.3	0
9/2006	100.2	-0.1
10/2006	100.6	0.4
11/2006	100.2	-0.4
12/2006	100.2	0
1/2007	100.22	0.02
2/2007	100.4	0.18
3/2007	100.29	-0.11
4/2007	100.51	0.22
5/2007	100.61	0.1
6/2007	100.81	0.2
7/2007	100.69	-0.12
8/2007	100.65	-0.04
9/2007	100.91	0.26
10/2007	100.81	-0.1
11/2007	100.32	-0.49
12/2007	100.61	0.29
1/2008	100.67	0.06
2/2008	100.46	-0.21
3/2008	100.73	0.27
4/2008	100.81	0.08
5/2008	100.48	-0.33
6/2008	100.66	0.18
7/2008	102	1.34
8/2008	101.23	-0.77
9/2008	100.81	-0.42
10/2008	100.58	-0.23
11/2008	100.28	-0.3
12/2008	100.35	0.07
1/2009	100.47	0.12
2/2009	100.36	-0.11
3/2009	100.29	-0.07
4/2009	100.24	-0.05
5/2009	100.18	-0.06
6/2009	100.27	0.09
7/2009	100.36	0.09
8/2009	100.16	-0.2
9/2009	100.19	0.03
10/2009	100.16	-0.03
11/2009	100.09	-0.07
12/2009	100.44	0.35
1/2010	100.27	-0.17
2/2010	100.42	0.15
3/2010	100.34	-0.08
4/2010	100.32	-0.02
5/2010	100.27	-0.05
6/2010	100.21	-0.06
7/2010	100.22	0.01
8/2010	100.41	0.19
9/2010	100.35	-0.06
10/2010	100.27	-0.08
11/2010	100.59	0.32
12/2010	100.41	-0.18
1/2011	100.36	-0.05
2/2011	100.3	-0.06
3/2011	100.71	0.41
4/2011	101.03	0.32
5/2011	101.2	0.17
6/2011	100.25	-0.95
7/2011	100.4	0.15
8/2011	100.25	-0.15
9/2011	100.28	0.03
10/2011	100.45	0.17
11/2011	100.2	-0.25
12/2011	100.24	0.04
1/2012	100.25	0.01
2/2012	100.29	0.04
3/2012	100.48	0.19
4/2012	100.25	-0.23
5/2012	100.33	0.08
6/2012	100.46	0.13
7/2012	103.36	2.9
8/2012	105.44	2.08
9/2012	117.02	11.58
10/2012	105.94	-11.08
11/2012	105.16	-0.78
12/2012	100.14	-5.02
1/2013	107.4	7.26
2/2013	100.58	-6.82
3/2013	100.07	-0.51
4/2013	103.62	3.55
5/2013	101.58	-2.04
6/2013	100.09	-1.49
7/2013	100.05	-0.04
8/2013	104.11	4.06
9/2013	100.04	-4.07
10/2013	100.1	0.06
11/2013	100.07	-0.03
12/2013	100.08	0.01
1/2014	100.17	0.09
2/2014	100.05	-0.12
3/2014	100.07	0.02
4/2014	100.04	-0.03
5/2014	100.06	0.02
6/2014	100.74	0.68
7/2014	100.05	-0.69
8/2014	100.22	0.17
9/2014	100.23	0.01
10/2014	100.53	0.3
11/2014	100.04	-0.49
12/2014	100.03	-0.01
1/2015	100.29	0.26
2/2015	100.04	-0.25
3/2015	100.04	0
4/2015	100.19	0.15
5/2015	100.03	-0.16
6/2015	100.38	0.35
7/2015	100.15	-0.23
8/2015	100.03	-0.12
9/2015	100.43	0.4
10/2015	100.01	-0.42
11/2015	100.05	0.04
12/2015	100.14	0.09
1/2016	100.21	0.07
2/2016	100.06	-0.15
3/2016	124.34	24.28
4/2016	100.45	-23.89
5/2016	100.05	-0.4
6/2016	100.05	0
7/2016	100.02	-0.03
8/2016	106.18	6.16
9/2016	100.02	-6.16
10/2016	110.07	10.05
11/2016	100.9	-9.17
12/2016	105.3	4.4
1/2017	101.01	-4.29
2/2017	100.22	-0.79
3/2017	107.51	7.29
4/2017	108.05	0.54
5/2017	100.04	-8.01
6/2017	100.01	-0.03
7/2017	100.36	0.35
8/2017	102.86	2.5
9/2017	100.25	-2.61
10/2017	102.14	1.89
11/2017	100.2	-1.94
12/2017	102.55	2.35
1/2018	101.83	-0.72
2/2018	100.07	-1.76
3/2018	101.98	1.91
4/2018	100.02	-1.96
5/2018	100.03	0.01
6/2018	100.03	0
7/2018	94.15	-5.88
8/2018	100.02	5.87
9/2018	100.04	0.02
10/2018	100.02	-0.02
11/2018	100.01	-0.01
12/2018	105.76	5.75
1/2019	100.01	-5.75
2/2019	100.01	0
3/2019	100.03	0.02
4/2019	100.01	-0.02
5/2019	99.94	-0.07
6/2019	100.05	0.11
7/2019	100.02	-0.03
8/2019	102.81	2.79
9/2019	99.99	-2.82
10/2019	100.04	0.05
11/2019	100.04	0
12/2019	100.03	-0.01
1/2020	100.17	0.14
2/2020	100.13	-0.04
3/2020	100.05	-0.08
