Date,Value,Change
1/2002, 108.96, 0
2/2002, 108.73, -0.23
3/2002, 109.08, 0.35
4/2002, 191.03, 81.95
5/2002, 195.04, 4.01
6/2002, 171.35, -23.69
7/2002, 165.98, -5.37
8/2002, 182.55, 16.57
9/2002, 153.91, -28.64
10/2002, 178.23, 24.32
11/2002, 175.35, -2.88
12/2002, 113.47, -61.88
1/2003, 197.21, 83.74
2/2003, 176.59, -20.62
3/2003, 105.1, -71.49
4/2003, 125.86, 20.76
5/2003, 118.07, -7.79
6/2003, 197.17, 79.1
7/2003, 121.9, -75.27
8/2003, 191, 69.1
9/2003, 168.93, -22.07
10/2003, 194.48, 25.55
11/2003, 175, -19.48
12/2003, 119.45, -55.55
1/2004, 197.9, 78.45
2/2004, 131.62, -66.28
3/2004, 108.13, -23.49
4/2004, 146.58, 38.45
5/2004, 115.97, -30.61
6/2004, 183.03, 67.06
7/2004, 140.11, -42.92
8/2004, 195.05, 54.94
9/2004, 139.44, -55.61
10/2004, 176.34, 36.9
11/2004, 160.16, -16.18
12/2004, 109.26, -50.9
1/2005, 115.09, 5.83
2/2005, 158.32, 43.23
3/2005, 129.58, -28.74
4/2005, 115.57, -14.01
5/2005, 189.1, 73.53
6/2005, 149.43, -39.67
7/2005, 167.86, 18.43
8/2005, 187.25, 19.39
9/2005, 125.08, -62.17
10/2005, 146.29, 21.21
11/2005, 128.43, -17.86
12/2005, 183.1, 54.67
1/2006, 111.37, -71.73
2/2006, 142.29, 30.92
3/2006, 136.91, -5.38
4/2006, 184.79, 47.88
5/2006, 123.32, -61.47
6/2006, 162.57, 39.25
7/2006, 172.95, 10.38
8/2006, 179.44, 6.49
9/2006, 122.22, -57.22
10/2006, 151.72, 29.5
11/2006, 125.78, -25.94
12/2006, 121.42, -4.36
1/2007, 179.53, 58.11
2/2007, 109.89, -69.64
3/2007, 143.06, 33.17
4/2007, 159.79, 16.73
5/2007, 112.16, -47.63
6/2007, 146.24, 34.08
7/2007, 122.84, -23.4
8/2007, 136.62, 13.78
9/2007, 102.8, -33.82
10/2007, 107.5, 4.7
11/2007, 169.17, 61.67
12/2007, 145.34, -23.83
1/2008, 157.66, 12.32
2/2008, 143.5, -14.16
3/2008, 143.54, 0.04
4/2008, 187.99, 44.45
5/2008, 123.4, -64.59
6/2008, 192.05, 68.65
7/2008, 196, 3.95
8/2008, 185.53, -10.47
9/2008, 144.84, -40.69
10/2008, 100.71, -44.13
11/2008, 152.89, 52.18
12/2008, 176.47, 23.58
1/2009, 195.52, 19.05
2/2009, 154.43, -41.09
3/2009, 171.15, 16.72
4/2009, 185.56, 14.41
5/2009, 154.21, -31.35
6/2009, 145.21, -9
7/2009, 143.19, -2.02
8/2009, 156.4, 13.21
9/2009, 132.45, -23.95
10/2009, 101.9, -30.55
11/2009, 150.85, 48.95
12/2009, 119.94, -30.91
1/2010, 180.26, 60.32
2/2010, 196.91, 16.65
3/2010, 122.19, -74.72
4/2010, 113.94, -8.25
5/2010, 110.38, -3.56
6/2010, 160.12, 49.74
7/2010, 140.5, -19.62
8/2010, 177.81, 37.31
9/2010, 184.88, 7.07
10/2010, 159.66, -25.22
11/2010, 191.65, 31.99
12/2010, 121.9, -69.75
1/2011, 102.28, -19.62
2/2011, 154.42, 52.14
3/2011, 112.55, -41.87
4/2011, 110.56, -1.99
5/2011, 108.22, -2.34
6/2011, 183.58, 75.36
7/2011, 121.52, -62.06
8/2011, 104.24, -17.28
9/2011, 128.04, 23.8
10/2011, 134.86, 6.82
11/2011, 169.43, 34.57
12/2011, 177.72, 8.29
1/2012, 185.99, 8.27
2/2012, 125.13, -60.86
3/2012, 149.63, 24.5
4/2012, 168.37, 18.74
5/2012, 132.33, -36.04
6/2012, 134.35, 2.02
7/2012, 143.9, 9.55
8/2012, 111.57, -32.33
9/2012, 146.95, 35.38
10/2012, 157.06, 10.11
11/2012, 162.2, 5.14
12/2012, 188.58, 26.38
1/2013, 126.42, -62.16
2/2013, 174.55, 48.13
3/2013, 154.57, -19.98
4/2013, 146.37, -8.2
5/2013, 189.43, 43.06
6/2013, 104.97, -84.46
7/2013, 134.99, 30.02
8/2013, 148.67, 13.68
9/2013, 155.41, 6.74
10/2013, 158.78, 3.37
11/2013, 159.11, 0.33
12/2013, 182.71, 23.6
1/2014, 160.7, -22.01
2/2014, 112.72, -47.98
3/2014, 140.43, 27.71
4/2014, 177.08, 36.65
5/2014, 176.96, -0.12
6/2014, 116.48, -60.48
7/2014, 172.71, 56.23
8/2014, 182.93, 10.22
9/2014, 188.09, 5.16
10/2014, 163.37, -24.72
11/2014, 150.57, -12.8
12/2014, 132.64, -17.93
1/2015, 163.14, 30.5
2/2015, 188.69, 25.55
3/2015, 144.36, -44.33
4/2015, 118.11, -26.25
5/2015, 135.55, 17.44
6/2015, 107.74, -27.81
7/2015, 191.1, 83.36
8/2015, 124.26, -66.84
9/2015, 161.53, 37.27
10/2015, 168.98, 7.45
11/2015, 108.58, -60.4
12/2015, 112.38, 3.8
1/2016, 184.59, 72.21
2/2016, 177.58, -7.01
3/2016, 126.45, -51.13
4/2016, 172.62, 46.17
5/2016, 176.92, 4.3
6/2016, 139.26, -37.66
7/2016, 155.16, 15.9
8/2016, 155.37, 0.21
9/2016, 163.45, 8.08
10/2016, 185.18, 21.73
11/2016, 181.04, -4.14
12/2016, 147.16, -33.88
1/2017, 160.06, 12.9
2/2017, 164.94, 4.88
3/2017, 184.46, 19.52
4/2017, 178.28, -6.18
5/2017, 173.14, -5.14
6/2017, 136.43, -36.71
7/2017, 126.73, -9.7
8/2017, 136.57, 9.84
9/2017, 114.66, -21.91
10/2017, 138.98, 24.32
11/2017, 140.84, 1.86
12/2017, 114.58, -26.26
1/2018, 184.45, 69.87
2/2018, 109.38, -75.07
3/2018, 191.71, 82.33
4/2018, 135.94, -55.77
5/2018, 158.94, 23
6/2018, 189.07, 30.13
7/2018, 141.88, -47.19
8/2018, 190.65, 48.77
9/2018, 104.57, -86.08
10/2018, 175.09, 70.52
11/2018, 170.64, -4.45
12/2018, 158.79, -11.85
1/2019, 103.28, -55.51
