Date,Value,Change
1/2002, 100.1, 0
2/2002, 101, 0.9
3/2002, 99.1, -1.9
4/2002, 99.9, 0.8
5/2002, 99.9, 0
6/2002, 100, 0.1
7/2002, 100, 0
8/2002, 100.1, 0.1
9/2002, 100, -0.1
10/2002, 101, 1
11/2002, 100.6, -0.4
12/2002, 100, -0.6
1/2003, 100.4, 0.4
2/2003, 101.3, 0.9
3/2003, 100.7, -0.6
4/2003, 99.8, -0.9
5/2003, 99.8, 0
6/2003, 99.9, 0.1
7/2003, 99.9, 0
8/2003, 99.9, 0
9/2003, 100, 0.1
10/2003, 96.7, -3.3
11/2003, 99.5, 2.8
12/2003, 100.2, 0.7
1/2004, 100, -0.2
2/2004, 100.7, 0.7
3/2004, 99.9, -0.8
4/2004, 100.1, 0.2
5/2004, 100.2, 0.1
6/2004, 100, -0.2
7/2004, 103.1, 3.1
8/2004, 100, -3.1
9/2004, 100.1, 0.1
10/2004, 100.1, 0
11/2004, 101.2, 1.1
12/2004, 100.4, -0.8
1/2005, 100.3, -0.1
2/2005, 100.8, 0.5
3/2005, 99.7, -1.1
4/2005, 101.5, 1.8
5/2005, 100.4, -1.1
6/2005, 100.1, -0.3
7/2005, 102, 1.9
8/2005, 100.9, -1.1
9/2005, 103.8, 2.9
10/2005, 100.3, -3.5
11/2005, 100.2, -0.1
12/2005, 98.9, -1.3
1/2006, 100.1, 1.2
2/2006, 100.8, 0.7
3/2006, 99.4, -1.4
4/2006, 100.1, 0.7
5/2006, 102.9, 2.8
6/2006, 100.1, -2.8
7/2006, 100.2, 0.1
8/2006, 100.9, 0.7
9/2006, 101.7, 0.8
10/2006, 98.2, -3.5
11/2006, 99.5, 1.3
12/2006, 100.1, 0.6
1/2007, 100.05, -0.05
2/2007, 100.07, 0.02
3/2007, 100.57, 0.5
4/2007, 101.05, 0.48
5/2007, 100.57, -0.48
6/2007, 100.91, 0.34
7/2007, 100.16, -0.75
8/2007, 100.15, -0.01
9/2007, 99.16, -0.99
10/2007, 100.04, 0.88
11/2007, 100.02, -0.02
12/2007, 104.38, 4.36
1/2008, 99.97, -4.41
2/2008, 101.51, 1.54
3/2008, 105.76, 4.25
4/2008, 102.33, -3.43
5/2008, 100.34, -1.99
6/2008, 100.35, 0.01
7/2008, 100.55, 0.2
8/2008, 109.07, 8.52
9/2008, 99.52, -9.55
10/2008, 99.06, -0.46
11/2008, 95.6, -3.46
12/2008, 93.23, -2.37
1/2009, 96.49, 3.26
2/2009, 99.95, 3.46
3/2009, 99.45, -0.5
4/2009, 100.48, 1.03
5/2009, 101.8, 1.32
6/2009, 101.35, -0.45
7/2009, 103.05, 1.7
8/2009, 101.31, -1.74
9/2009, 102.37, 1.06
10/2009, 100.77, -1.6
11/2009, 100.31, -0.46
12/2009, 101.86, 1.55
