Date,Value,Change
1/2002, 101.1, 0
2/2002, 102.2, 1.1
3/2002, 99.2, -3
4/2002, 100, 0.8
5/2002, 100.3, 0.3
6/2002, 100.1, -0.2
7/2002, 99.9, -0.2
8/2002, 100.1, 0.2
9/2002, 100.2, 0.1
10/2002, 100.3, 0.1
11/2002, 100.3, 0
12/2002, 100.3, 0
1/2003, 100.9, 0.6
2/2003, 102.2, 1.3
3/2003, 99.4, -2.8
4/2003, 100, 0.6
5/2003, 99.9, -0.1
6/2003, 99.7, -0.2
7/2003, 99.7, 0
8/2003, 99.9, 0.2
9/2003, 100.1, 0.2
10/2003, 99.8, -0.3
11/2003, 100.6, 0.8
12/2003, 100.8, 0.2
1/2004, 101.1, 0.3
2/2004, 103, 1.9
3/2004, 100.8, -2.2
4/2004, 100.5, -0.3
5/2004, 100.9, 0.4
6/2004, 100.8, -0.1
7/2004, 100.5, -0.3
8/2004, 100.6, 0.1
9/2004, 100.3, -0.3
10/2004, 100, -0.3
11/2004, 100.2, 0.2
12/2004, 100.6, 0.4
1/2005, 101.1, 0.5
2/2005, 102.5, 1.4
3/2005, 100.1, -2.4
4/2005, 100.6, 0.5
5/2005, 100.5, -0.1
6/2005, 100.4, -0.1
7/2005, 100.4, 0
8/2005, 100.4, 0
9/2005, 100.8, 0.4
10/2005, 100.4, -0.4
11/2005, 100.4, 0
12/2005, 100.8, 0.4
1/2006, 101.2, 0.4
2/2006, 102.1, 0.9
3/2006, 99.5, -2.6
4/2006, 100.2, 0.7
5/2006, 100.6, 0.4
6/2006, 100.4, -0.2
7/2006, 100.4, 0
8/2006, 100.4, 0
9/2006, 100.3, -0.1
10/2006, 100.2, -0.1
11/2006, 100.6, 0.4
12/2006, 100.5, -0.1
1/2007, 101.05, 0.55
2/2007, 102.17, 1.12
3/2007, 99.78, -2.39
4/2007, 100.49, 0.71
5/2007, 100.77, 0.28
6/2007, 100.85, 0.08
7/2007, 100.94, 0.09
8/2007, 100.55, -0.39
9/2007, 100.51, -0.04
10/2007, 100.74, 0.23
11/2007, 101.23, 0.49
12/2007, 102.91, 1.68
1/2008, 102.38, -0.53
2/2008, 103.56, 1.18
3/2008, 102.99, -0.57
4/2008, 102.2, -0.79
5/2008, 103.91, 1.71
