Date,Value,Change
1/2002	100	0
2/2002	100.2	0.2
3/2002	99.8	-0.4
4/2002	99.9	0.1
5/2002	100.3	0.4
6/2002	100.5	0.2
7/2002	100.2	-0.3
8/2002	100.2	0
9/2002	100.4	0.2
10/2002	103.1	2.7
11/2002	101.9	-1.2
12/2002	100.5	-1.4
1/2003	100.6	0.1
2/2003	100.5	-0.1
3/2003	101.9	1.4
4/2003	100.4	-1.5
5/2003	99.5	-0.9
6/2003	99.6	0.1
7/2003	100.2	0.6
8/2003	100.2	0
9/2003	100.1	-0.1
10/2003	100	-0.1
11/2003	100.5	0.5
12/2003	100.6	0.1
1/2004	100.8	0.2
2/2004	101.5	0.7
3/2004	102.1	0.6
4/2004	100.4	-1.7
5/2004	100.2	-0.2
6/2004	99.8	-0.4
7/2004	100	0.2
8/2004	100.6	0.6
9/2004	100.5	-0.1
10/2004	100.5	0
11/2004	100.5	0
12/2004	100.5	0
1/2005	100.3	-0.2
2/2005	100.4	0.1
3/2005	100.4	0
4/2005	101.1	0.7
5/2005	100.8	-0.3
6/2005	100	-0.8
7/2005	101.7	1.7
8/2005	100.6	-1.1
9/2005	101.7	1.1
10/2005	101.1	-0.6
11/2005	100.7	-0.4
12/2005	100.6	-0.1
1/2006	100.8	0.2
2/2006	100.7	-0.1
3/2006	100.1	-0.6
4/2006	99.7	-0.4
5/2006	100.9	1.2
6/2006	101	0.1
7/2006	100.8	-0.2
8/2006	101.1	0.3
9/2006	100.9	-0.2
10/2006	99.5	-1.4
11/2006	99.8	0.3
12/2006	100.5	0.7
1/2007	103.08	2.58
2/2007	101.86	-1.22
3/2007	99.9	-1.96
4/2007	100.96	1.06
5/2007	100.87	-0.09
6/2007	101.33	0.46
7/2007	100.73	-0.6
8/2007	100.15	-0.58
9/2007	100.43	0.28
10/2007	101.51	1.08
11/2007	101.87	0.36
12/2007	103.28	1.41
1/2008	102.88	-0.4
2/2008	101.39	-1.49
3/2008	103.55	2.16
4/2008	102.62	-0.93
