Date, Value, Change
1/2002	104	0
2/2002	102.7	-1.3
3/2002	98.9	-3.8
4/2002	98.2	-0.7
5/2002	99.5	1.3
6/2002	97.5	-2
7/2002	98.6	1.1
8/2002	99.9	1.3
9/2002	100.6	0.7
10/2002	100.2	-0.4
11/2002	101.1	0.9
12/2002	101.6	0.5
1/2003	101.6	0
2/2003	101.2	-0.4
3/2003	99.1	-2.1
4/2003	99.4	0.3
5/2003	99.1	-0.3
6/2003	98.4	-0.7
7/2003	98.8	0.4
8/2003	100.1	1.3
9/2003	100	-0.1
10/2003	100.5	0.5
11/2003	102.8	2.3
12/2003	102	-0.8
1/2004	102.1	0.1
2/2004	101.5	-0.6
3/2004	102.8	1.3
4/2004	101.8	-1
5/2004	102.3	0.5
6/2004	100.5	-1.8
7/2004	99.7	-0.8
8/2004	100.8	1.1
9/2004	100.4	-0.4
10/2004	99.8	-0.6
11/2004	100.7	0.9
12/2004	101.1	0.4
1/2005	101.4	0.3
2/2005	102.5	1.1
3/2005	101	-1.5
4/2005	100.5	-0.5
5/2005	100.2	-0.3
6/2005	99.5	-0.7
7/2005	99.4	-0.1
8/2005	100	0.6
9/2005	100.2	0.2
10/2005	100.6	0.4
11/2005	101.1	0.5
12/2005	101.2	0.1
1/2006	102.1	0.9
2/2006	101.7	-0.4
3/2006	100.2	-1.5
4/2006	100.3	0.1
5/2006	100.3	0
6/2006	100.2	-0.1
7/2006	100.4	0.2
8/2006	100.3	-0.1
9/2006	100.4	0.1
10/2006	101.3	0.9
11/2006	103.8	2.5
12/2006	102.4	-1.4
1/2007	101.8	-0.6
2/2007	102.76	0.96
3/2007	99.95	-2.81
4/2007	99.91	-0.04
5/2007	100.62	0.71
6/2007	100.43	-0.19
7/2007	100.54	0.11
8/2007	100.86	0.32
9/2007	100.85	-0.01
10/2007	101.11	0.26
11/2007	102.66	1.55
12/2007	102.98	0.32
1/2008	103.35	0.37
2/2008	103.25	-0.1
3/2008	110.5	7.25
4/2008	106.11	-4.39
5/2008	122.19	16.08
6/2008	104.29	-17.9
7/2008	99.63	-4.66
8/2008	98.9	-0.73
9/2008	98.25	-0.65
10/2008	98.09	-0.16
11/2008	96.9	-1.19
12/2008	97.64	0.74
1/2009	99.96	2.32
2/2009	100.82	0.86
3/2009	101.27	0.45
4/2009	100.03	-1.24
5/2009	99.63	-0.4
6/2009	98.9	-0.73
7/2009	99.08	0.18
8/2009	99.58	0.5
9/2009	99.15	-0.43
10/2009	100.03	0.88
11/2009	102.22	2.19
12/2009	106.88	4.66
1/2010	104.41	-2.47
2/2010	102.94	-1.47
3/2010	99.1	-3.84
4/2010	98.09	-1.01
5/2010	98.71	0.62
6/2010	99.17	0.46
7/2010	99.03	-0.14
8/2010	100.67	1.64
9/2010	102.32	1.65
10/2010	101.89	-0.43
11/2010	106.02	4.13
12/2010	104.67	-1.35
1/2011	102.28	-2.39
2/2011	101.51	-0.77
3/2011	102.18	0.67
4/2011	102.47	0.29
5/2011	101.77	-0.7
6/2011	100.33	-1.44
7/2011	99.12	-1.21
8/2011	100.46	1.34
9/2011	101.53	1.07
10/2011	101.27	-0.26
11/2011	103.25	1.98
12/2011	101.4	-1.85
1/2012	99.86	-1.54
2/2012	99.59	-0.27
3/2012	98.79	-0.8
4/2012	98.31	-0.48
5/2012	99.46	1.15
6/2012	99.22	-0.24
7/2012	98.51	-0.71
8/2012	99.57	1.06
9/2012	100.35	0.78
10/2012	100.37	0.02
11/2012	100.05	-0.32
12/2012	100.13	0.08
1/2013	100.15	0.02
2/2013	100.37	0.22
3/2013	99.41	-0.96
4/2013	99.14	-0.27
5/2013	99.31	0.17
6/2013	99.38	0.07
7/2013	99.7	0.32
8/2013	100.7	1
9/2013	100.41	-0.29
10/2013	100.91	0.5
11/2013	101.29	0.38
12/2013	101.22	-0.07
1/2014	101.33	0.11
2/2014	100.68	-0.65
3/2014	99.87	-0.81
4/2014	99.74	-0.13
5/2014	99.49	-0.25
6/2014	99.57	0.08
7/2014	99.37	-0.2
8/2014	100.45	1.08
9/2014	100.35	-0.1
10/2014	100.2	-0.15
11/2014	100.12	-0.08
12/2014	100.14	0.02
1/2015	100.03	-0.11
2/2015	100.13	0.1
3/2015	99.76	-0.37
4/2015	99.69	-0.07
5/2015	99.54	-0.15
6/2015	99.38	-0.16
7/2015	99.62	0.24
8/2015	99.84	0.22
9/2015	99.76	-0.08
10/2015	99.83	0.07
11/2015	100.31	0.48
12/2015	100.45	0.14
1/2016	100.48	0.03
2/2016	100.66	0.18
3/2016	100.23	-0.43
4/2016	101.11	0.88
5/2016	100.68	-0.43
6/2016	99.76	-0.92
7/2016	99.36	-0.4
8/2016	99.65	0.29
9/2016	100.16	0.51
10/2016	100.03	-0.13
11/2016	100.22	0.19
12/2016	100.22	0
1/2017	100.47	0.25
2/2017	100.25	-0.22
3/2017	100.16	-0.09
4/2017	100.16	0
5/2017	99.94	-0.22
6/2017	99.49	-0.45
7/2017	99.92	0.43
8/2017	100.31	0.39
9/2017	100.14	-0.17
10/2017	100.57	0.43
11/2017	101.12	0.55
12/2017	100.56	-0.56
1/2018	100.47	-0.09
2/2018	101.44	0.97
3/2018	100.35	-1.09
4/2018	100.12	-0.23
5/2018	100.03	-0.09
6/2018	99.55	-0.48
7/2018	99.08	-0.47
8/2018	100.1	1.02
9/2018	100.28	0.18
10/2018	100.15	-0.13
11/2018	100.27	0.12
12/2018	100.17	-0.1
1/2019	100.52	0.35
2/2019	100.53	0.01
3/2019	99.45	-1.08
4/2019	99.61	0.16
5/2019	99.63	0.02
6/2019	99.66	0.03
7/2019	100.05	0.39
8/2019	100.31	0.26
9/2019	100.3	-0.01
10/2019	100.05	-0.25
11/2019	100.26	0.21
